ICD code,short title,long title,male rate,female rate,male to female rate ratio,male freq,female freq
01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified",0.00018209408194233686,7.684623069238454e-05,2.3695902883156297,6.0,2.0
01300,TB meningitis-unspec,"Tuberculous meningitis, unspecified",6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
0030,Salmonella enteritis,Salmonella gastroenteritis,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
0038,Salmonella infection NEC,Other specified salmonella infections,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
0041,Shigella flexneri,Shigella flexneri,6.069802731411229e-05,3.842311534619227e-05,1.5797268588770865,2.0,1.0
0074,Cryptosporidiosis,Cryptosporidiosis,0.00018209408194233686,3.842311534619227e-05,4.739180576631259,6.0,1.0
00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,0.022094081942336873,0.027510950587873666,0.8031013640101389,728.0,716.0
0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",6.069802731411229e-05,7.684623069238454e-05,0.7898634294385433,2.0,2.0
00862,Intes infec adenovirus,Enteritis due to adenovirus,3.0349013657056145e-05,3.842311534619227e-05,0.7898634294385433,1.0,1.0
00863,Int inf norwalk virus,Enteritis due to norwalk virus,0.00012139605462822458,7.684623069238454e-05,1.5797268588770865,4.0,2.0
00869,Other viral intes infec,Enteritis due to other viral enteritis,0.0003338391502276176,0.0002305386920771536,1.4480829539706628,11.0,6.0
0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",0.0019119878603945373,0.0029201567663106123,0.6547552112451083,63.0,76.0
0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",0.0002731411229135053,0.0006531929608852686,0.4181629920556993,9.0,17.0
0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",0.00021244309559939302,0.0004610773841543072,0.46075366717248356,7.0,12.0
0092,Infectious diarrhea NOS,Infectious diarrhea,6.069802731411229e-05,0.0001152693460385768,0.5265756196256955,2.0,3.0
